old;new;obj;subst
broadleaf-5.3.0-M12;broadleaf-6.0.0-M1;class dedal.impl.InterfaceTypeImpl IListFactoryBean;null
broadleaf-5.3.0-M12;broadleaf-6.0.0-M1;class dedal.impl.InterfaceImpl org_springframework_beans_factory_config_ListFactoryBean_provIListFactoryBean;null
broadleaf-5.3.0-M12;broadleaf-6.0.0-M1;class dedal.impl.InterfaceImpl blEntityDuplicationHelpers_provIListFactoryBean_inst;true
broadleaf-5.3.0-M12;broadleaf-6.0.0-M1;class dedal.impl.CompClassImpl "org.springframework.beans.factory.config.ListFactoryBean";null
broadleaf-5.3.0-M12;broadleaf-6.0.0-M1;class dedal.impl.InterfaceTypeImpl ICrossSaleProductImpl;null
broadleaf-5.3.0-M12;broadleaf-6.0.0-M1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_catalog_domain_CrossSaleProductImpl_provICrossSaleProductImpl;null
broadleaf-5.3.0-M12;broadleaf-6.0.0-M1;class dedal.impl.InterfaceTypeImpl ICrossSaleProduct;null
broadleaf-5.3.0-M12;broadleaf-6.0.0-M1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_catalog_domain_CrossSaleProductImpl_provICrossSaleProduct;null
broadleaf-5.3.0-M12;broadleaf-6.0.0-M1;class dedal.impl.InterfaceTypeImpl IMultiTenantCloneable;null
broadleaf-5.3.0-M12;broadleaf-6.0.0-M1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_catalog_domain_CrossSaleProductImpl_provIMultiTenantCloneable;null
broadleaf-5.3.0-M12;broadleaf-6.0.0-M1;class dedal.impl.InterfaceTypeImpl IRelatedProduct;null
broadleaf-5.3.0-M12;broadleaf-6.0.0-M1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_catalog_domain_CrossSaleProductImpl_provIRelatedProduct;null
broadleaf-5.3.0-M12;broadleaf-6.0.0-M1;class dedal.impl.InterfaceTypeImpl IPromotableProduct;null
broadleaf-5.3.0-M12;broadleaf-6.0.0-M1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_catalog_domain_CrossSaleProductImpl_provIPromotableProduct;null
broadleaf-5.3.0-M12;broadleaf-6.0.0-M1;class dedal.impl.InterfaceTypeImpl ISerializable;null
broadleaf-5.3.0-M12;broadleaf-6.0.0-M1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_catalog_domain_CrossSaleProductImpl_provISerializable;null
broadleaf-5.3.0-M12;broadleaf-6.0.0-M1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_catalog_domain_CrossSaleProduct_provICrossSaleProductImpl_inst;true
broadleaf-5.3.0-M12;broadleaf-6.0.0-M1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_catalog_domain_CrossSaleProduct_provICrossSaleProduct_inst;true
broadleaf-5.3.0-M12;broadleaf-6.0.0-M1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_catalog_domain_CrossSaleProduct_provIMultiTenantCloneable_inst;true
broadleaf-5.3.0-M12;broadleaf-6.0.0-M1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_catalog_domain_CrossSaleProduct_provIRelatedProduct_inst;true
broadleaf-5.3.0-M12;broadleaf-6.0.0-M1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_catalog_domain_CrossSaleProduct_provIPromotableProduct_inst;true
broadleaf-5.3.0-M12;broadleaf-6.0.0-M1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_catalog_domain_CrossSaleProduct_provISerializable_inst;true
broadleaf-5.3.0-M12;broadleaf-6.0.0-M1;class dedal.impl.CompClassImpl "org.broadleafcommerce.core.catalog.domain.CrossSaleProductImpl";null
broadleaf-5.3.0-M12;broadleaf-6.0.0-M1;class dedal.impl.InterfaceTypeImpl IUpSaleProductImpl;null
