,old,new,nbDiffs_ADD,nbDiffs_DEL,nbDiffs_CHG,nbDiffs,nb_diffParam_ADD,nb_diffParam_DEL,nb_diffParam_CHG,nb_diffParam,nb_notSubst_diffParam,nb_Subst_diffParam,nb_diffSign_ADD,nb_diffSign_DEL,nb_diffSign_CHG,nb_diffSign,nb_notSubst_diffSign,nb_Subst_diffSign,nb_diffIntType_ADD,nb_diffIntType_DEL,nb_diffIntType_CHG,nb_diffIntType,nb_notSubst_diffIntType,nb_Subst_diffIntType,nb_diffInt_ADD,nb_diffInt_DEL,nb_diffInt_CHG,nb_diffInt,nb_notSubst_diffInt,nb_Subst_diffInt,nb_diffCompType_ADD,nb_diffCompType_DEL,nb_diffCompType_CHG,nb_diffCompType,nb_notSubst_diffCompType,nb_Subst_diffCompType,nb_diffCompInst_ADD,nb_diffCompInst_DEL,nb_diffCompInst_CHG,nb_diffCompInst,nb_notSubst_diffCompInst,nb_Subst_diffCompInst,nb_diffCompClass_ADD,nb_diffCompClass_DEL,nb_diffCompClass_CHG,nb_diffCompClass,nb_notSubst_diffCompClass,nb_Subst_diffCompClass,nb_diffAttr_ADD,nb_diffAttr_DEL,nb_diffAttr_CHG,nb_diffAttr,nb_notSubst_diffAttr,nb_Subst_diffAttr,nb_diffCompRole_ADD,nb_diffCompRole_DEL,nb_diffCompRole_CHG,nb_diffCompRole,nb_notSubst_diffCompRole,nb_Subst_diffCompRole,nb_diffAssm_ADD,nb_diffAssm_DEL,nb_diffAssm_CHG,nb_diffAssm,nb_notSubst_diffAssm,nb_Subst_diffAssm,nb_diffConfig_ADD,nb_diffConfig_DEL,nb_diffConfig_CHG,nb_diffConfig,nb_notSubst_diffConfig,nb_Subst_diffConfig,nb_diffSpec_ADD,nb_diffSpec_DEL,nb_diffSpec_CHG,nb_diffSpec,nb_notSubst_diffSpec,nb_Subst_diffSpec,shoulBeSubstitutable,isSubstitutable,actualIncrement,proposedIncrement,isSubjectToErosion,isSubjectToDrift
129,broadleaf-4.0.9-GA,broadleaf-4.0.10-GA,3,46,44,945,3,11,0,14,3,11,0,5,0,674,8,0,0,2,17,85,5,0,0,19,33,183,24,1,0,1,1,3,1,0,0,4,4,10,4,0,0,1,6,52,3,0,0,0,0,0,0,0,0,2,0,3,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,True,False,Increment.BUILD,Increment.MAJOR,True,False
130,broadleaf-4.1.0-GA,broadleaf-4.1.1-GA,1,2,0,846,1,2,0,3,1,2,0,0,0,683,1,0,0,0,0,58,1,0,0,0,0,116,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,True,False,Increment.BUILD,Increment.MAJOR,False,False
131,broadleaf-4.1.1-GA,broadleaf-4.1.2-GA,3,2,0,356,3,2,0,5,3,2,0,0,0,281,3,0,0,0,0,24,3,0,0,0,0,48,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,True,False,Increment.BUILD,Increment.MAJOR,False,False
132,broadleaf-4.1.2-GA,broadleaf-4.1.3-GA,3,25,5,867,3,14,0,17,3,14,0,6,0,674,9,0,0,1,4,65,3,0,0,5,5,130,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,True,False,Increment.BUILD,Increment.MAJOR,True,False
133,broadleaf-4.1.3-GA,broadleaf-4.1.4-GA,2,23,0,856,2,16,0,18,2,16,0,7,0,669,9,0,0,0,0,62,4,0,0,0,0,124,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,True,False,Increment.BUILD,Increment.MAJOR,True,False
134,broadleaf-4.1.4-GA,broadleaf-4.1.5-GA,2,2,0,808,2,2,0,4,2,2,0,0,0,634,2,0,0,0,0,62,1,0,0,0,0,124,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,True,False,Increment.BUILD,Increment.MAJOR,False,False
135,broadleaf-4.1.5-GA,broadleaf-5.0.0-M1,213,607,404,2311,81,216,0,297,81,216,64,136,0,902,185,22,3,23,229,366,25,0,46,209,340,831,229,46,3,4,7,23,4,3,6,18,32,73,18,6,3,4,25,130,17,3,0,0,0,0,0,0,6,8,0,28,8,6,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,True,False,Increment.MINOR,Increment.MAJOR,False,False
136,broadleaf-5.0.0-GA,broadleaf-5.0.1-GA,2,0,0,848,2,0,0,2,2,0,0,0,0,685,2,0,0,0,0,58,2,0,0,0,0,116,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,True,False,Increment.BUILD,Increment.MAJOR,False,True
137,broadleaf-5.0.0-M1,broadleaf-5.0.0-M3,1,8,5,361,1,3,0,4,1,3,0,0,0,286,1,0,0,1,4,26,1,0,0,5,5,52,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,True,False,Increment.BUILD,Increment.MAJOR,False,False
138,broadleaf-5.0.0-M3,broadleaf-5.0.0-M4,45,158,98,762,16,60,0,76,16,60,8,43,0,349,56,0,0,2,46,95,18,0,13,35,75,214,69,13,1,3,4,16,3,1,2,4,12,28,4,2,1,3,7,46,14,1,0,0,0,0,0,0,2,6,0,16,6,2,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,True,False,Increment.BUILD,Increment.MAJOR,False,False
139,broadleaf-5.0.0-M4,broadleaf-5.0.0-RC1,8,22,24,402,3,7,0,10,3,7,1,3,0,285,6,0,0,1,13,36,2,0,4,10,21,79,13,4,0,0,0,0,0,0,0,1,2,3,1,0,0,0,1,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,True,False,Increment.BUILD,Increment.MAJOR,True,False
140,broadleaf-5.0.0-RC1,broadleaf-5.0.0-RC2,142,28,138,683,22,13,0,35,22,13,31,9,0,350,29,13,4,0,55,81,4,0,57,2,101,204,9,51,3,0,3,6,0,3,12,2,20,34,4,10,3,0,14,35,1,3,0,0,0,0,0,0,6,0,0,6,0,6,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,True,False,Increment.BUILD,Increment.MAJOR,True,False
141,broadleaf-5.0.0-RC2,broadleaf-5.0.0-GA,104,114,60,1140,36,25,0,61,36,25,68,34,0,786,70,35,0,4,37,105,7,0,0,41,51,220,47,1,0,2,2,4,2,0,0,5,2,8,5,0,0,2,5,53,5,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,True,False,Increment.BUILD,Increment.MAJOR,False,False
142,broadleaf-5.0.1-GA,broadleaf-5.0.2-GA,2,6,3,369,2,2,0,4,2,2,0,2,0,288,4,0,0,0,1,26,4,0,0,1,2,53,9,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,True,False,Increment.BUILD,Increment.MAJOR,False,False
143,broadleaf-5.0.10-GA,broadleaf-5.0.10.1-GA,2,2,0,389,2,2,0,4,2,2,0,0,0,314,2,0,0,0,0,25,1,0,0,0,0,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,True,False,Increment.BUILD,Increment.MAJOR,False,False
144,broadleaf-5.0.10.1-GA,broadleaf-5.0.10.2-GA,1,0,0,358,1,0,0,1,1,0,0,0,0,296,1,0,0,0,0,21,1,0,0,0,0,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,True,False,Increment.BUILD,Increment.MAJOR,False,True
145,broadleaf-5.0.10.2-GA,broadleaf-5.0.10.3-GA,2,2,0,363,2,2,0,4,2,2,0,0,0,296,2,0,0,0,0,22,2,0,0,0,0,44,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,True,False,Increment.BUILD,Increment.MAJOR,False,False
146,broadleaf-5.0.10.3-GA,broadleaf-5.0.11-GA,0,306,55,698,0,122,0,122,0,122,0,133,0,397,133,0,0,6,34,63,7,0,0,40,47,134,41,3,0,2,2,4,2,0,0,1,0,3,1,0,0,2,4,27,4,0,0,0,0,0,0,0,0,4,2,6,4,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,True,False,Increment.BUILD,Increment.MAJOR,True,False
147,broadleaf-5.0.11-GA,broadleaf-5.0.12-GA,4,2,3,662,4,0,0,4,4,0,0,0,0,506,4,0,0,0,1,54,4,0,0,1,2,109,9,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,40,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,True,False,Increment.BUILD,Increment.MAJOR,False,False
148,broadleaf-5.0.12-GA,broadleaf-5.0.13-GA,5,24,0,406,5,17,0,22,5,17,0,7,0,291,12,0,0,0,0,33,6,0,0,0,0,66,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,True,False,Increment.BUILD,Increment.MAJOR,True,False
149,broadleaf-5.0.13-GA,broadleaf-5.0.14-GA,0,7,0,902,0,7,0,7,0,7,0,0,0,724,0,0,0,0,0,62,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,True,True,Increment.BUILD,Increment.MINOR,False,True
150,broadleaf-5.0.14-GA,broadleaf-5.0.15-GA,4,1,0,858,4,1,0,5,4,1,0,0,0,693,4,0,0,0,0,58,4,0,0,0,0,116,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,41,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,True,False,Increment.BUILD,Increment.MAJOR,False,False
151,broadleaf-5.0.15-GA,broadleaf-5.0.16-GA,0,1,0,333,0,1,0,1,0,1,0,0,0,264,0,0,0,0,0,24,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,Increment.BUILD,Increment.MINOR,False,True
152,broadleaf-5.0.16-GA,broadleaf-5.1.0-GA,6609,375,2488,10161,2248,99,0,2347,2248,99,2101,197,0,2758,1504,797,130,6,1564,1781,155,0,1637,63,2084,3955,266,1481,104,3,107,214,7,100,122,4,136,267,17,109,104,3,149,303,21,100,0,0,0,0,0,0,208,6,12,229,10,204,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,True,False,Increment.MINOR,Increment.MAJOR,True,False
153,broadleaf-5.0.2-GA,broadleaf-5.0.3-GA,3,28,0,862,3,19,0,22,3,19,0,9,0,676,12,0,0,0,0,59,3,0,0,0,0,118,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,43,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,True,False,Increment.BUILD,Increment.MAJOR,True,False
154,broadleaf-5.0.3-GA,broadleaf-5.0.4-GA,3,30,20,869,3,6,0,9,3,6,0,6,0,669,9,0,0,1,10,66,4,0,0,11,15,136,16,1,0,1,1,2,1,0,0,2,2,5,2,0,0,1,2,42,3,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,True,False,Increment.BUILD,Increment.MAJOR,False,False
155,broadleaf-5.0.4-GA,broadleaf-5.0.5-GA,3,62,0,434,2,42,0,44,2,42,1,20,0,312,21,0,0,0,0,27,3,0,0,0,0,54,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,True,False,Increment.BUILD,Increment.MAJOR,False,False
156,broadleaf-5.0.5-GA,broadleaf-5.0.6-GA,2,2,0,835,2,2,0,4,2,2,0,0,0,666,2,0,0,0,0,60,1,0,0,0,0,120,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,True,False,Increment.BUILD,Increment.MAJOR,False,False
157,broadleaf-5.0.6-GA,broadleaf-5.0.7-GA,18,35,5,440,15,20,0,35,15,20,3,10,0,314,16,0,0,1,4,33,5,0,0,5,5,66,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,True,False,Increment.BUILD,Increment.MAJOR,True,False
158,broadleaf-5.0.7-GA,broadleaf-5.0.8-GA,1,2,0,395,1,0,0,1,1,0,0,2,0,321,3,0,0,0,0,26,3,0,0,0,0,52,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,True,False,Increment.BUILD,Increment.MAJOR,False,False
159,broadleaf-5.0.8-GA,broadleaf-5.0.9-GA,0,1,0,376,0,1,0,1,0,1,0,0,0,312,0,0,0,0,0,22,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,Increment.BUILD,Increment.MINOR,False,True
160,broadleaf-5.0.9-GA,broadleaf-5.0.10-GA,4,28,5,452,3,12,0,15,3,12,1,12,0,346,14,0,0,0,4,33,6,0,0,4,5,67,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,True,False,Increment.BUILD,Increment.MAJOR,False,False
161,broadleaf-5.1.0-GA,broadleaf-5.1.1-GA,36,93,55,693,15,30,0,45,15,30,9,30,0,437,40,0,0,2,36,76,7,0,12,26,49,163,36,12,0,1,1,2,1,0,0,1,2,3,1,0,0,1,3,36,4,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,True,False,Increment.BUILD,Increment.MAJOR,True,False
